	Original	Predicted
0	1	1
1	0	0
2	1	1
3	1	1
4	0	0
5	0	1
6	1	1
7	1	1
8	1	1
9	1	1
10	1	1
11	0	0
12	0	0
13	1	1
14	1	1
15	1	0
16	1	1
17	1	1
18	1	1
19	1	1
20	1	1
21	1	1
22	0	0
23	1	1
24	0	1
25	0	0
26	1	1
27	1	1
28	0	0
29	1	1
30	1	1
31	1	1
32	1	1
33	1	1
34	0	1
35	1	0
36	1	0
37	1	1
38	0	1
39	1	1
40	0	1
41	1	1
42	1	1
43	1	0
44	1	1
45	1	1
46	1	1
47	0	1
48	1	1
49	1	1
50	0	1
51	1	1
52	0	1
53	0	0
54	1	1
55	0	1
56	1	1
57	0	0
58	1	1
59	0	0
60	1	1
61	1	1
62	1	1
63	0	1
64	0	1
65	0	1
66	0	0
67	1	0
68	0	1
69	0	0
70	1	1
71	1	1
72	1	1
73	1	1
74	0	0
75	0	0
76	1	1
77	1	0
78	1	1
79	1	0
80	1	1
81	0	0
82	1	1
83	1	1
84	1	1
85	1	1
86	1	1
87	1	1
88	1	0
89	1	0
90	1	1
91	1	1
92	1	1
93	1	1
94	1	1
95	1	1
96	0	0
97	1	1
98	1	1
99	1	1
100	1	1
101	1	0
102	1	1
103	1	1
104	1	1
105	1	1
106	1	0
107	1	1
108	1	1
109	0	0
110	1	0
111	1	0
112	0	0
113	1	1
114	1	1
115	1	1
116	1	1
117	1	1
118	1	0
119	1	0
120	0	0
121	0	1
122	1	1
123	1	1
124	1	1
125	1	1
126	1	1
127	1	0
128	1	1
129	1	1
130	0	0
131	0	1
132	0	0
133	0	0
134	1	1
135	1	0
136	0	0
137	1	1
138	1	1
139	1	1
140	1	1
141	0	0
142	1	1
143	0	0
144	1	1
145	1	1
146	1	1
147	1	0
148	1	0
149	0	0
150	0	1
151	1	1
152	1	1
153	1	0
154	1	0
155	1	1
156	1	1
157	1	1
158	1	1
159	1	1
160	1	1
161	1	1
162	1	1
163	1	1
164	1	1
165	1	0
166	1	1
167	1	0
168	1	1
169	1	1
170	0	1
171	1	1
172	0	0
173	1	1
174	1	1
175	1	1
176	1	1
177	1	0
178	1	0
179	1	1
180	1	1
181	1	0
182	1	1
183	0	1
184	1	1
185	1	0
186	1	0
187	1	1
188	1	0
189	1	0
190	1	1
191	1	1
192	0	0
193	1	0
194	1	1
195	0	0
196	1	1
197	0	1
198	0	1
199	0	0
200	1	0
201	0	0
202	1	1
203	1	0
204	0	0
205	1	0
206	1	0
207	0	1
208	0	0
209	1	1
210	0	1
211	1	1
212	1	0
213	1	1
214	1	1
215	0	0
216	1	1
217	1	0
218	0	0
219	0	0
220	0	0
221	1	1
222	1	1
223	1	1
224	1	1
225	1	1
226	1	0
227	1	1
228	1	1
229	0	0
230	1	0
231	1	1
232	1	1
233	1	1
234	0	1
235	1	1
236	1	1
237	1	1
238	1	1
239	1	1
240	0	1
241	1	0
242	1	1
243	1	1
244	1	1
245	1	1
246	1	0
247	1	1
248	1	0
249	0	0
250	0	0
251	1	1
252	1	1
253	1	0
254	1	1
255	1	1
256	0	0
257	0	0
258	1	0
259	1	1
260	0	0
261	0	1
262	0	0
263	1	0
264	1	1
265	1	0
266	1	1
267	1	1
268	1	1
269	0	0
270	1	0
271	1	1
272	0	0
273	0	0
274	0	0
275	1	1
276	1	0
277	1	0
278	1	1
279	0	0
280	1	1
281	1	1
282	1	1
283	1	1
284	1	0
285	0	0
286	1	1
287	0	0
288	0	1
289	1	1
290	1	1
291	1	1
292	1	1
293	1	1
294	0	0
295	0	0
296	1	1
297	0	0
298	1	1
299	1	0
300	1	1
301	1	1
302	1	1
303	1	1
304	1	1
305	1	1
306	1	1
307	1	1
308	1	1
309	1	1
310	1	1
311	1	1
312	0	0
313	0	0
314	1	0
315	0	0
316	1	0
317	1	1
318	1	1
319	1	1
320	0	1
321	1	1
322	1	1
323	1	1
324	1	1
325	0	0
326	1	1
327	1	1
328	1	1
329	1	1
330	1	1
331	1	1
332	1	1
333	1	1
334	1	1
335	0	1
336	1	1
337	1	1
338	1	1
339	1	1
340	1	1
341	0	0
342	1	1
343	1	1
344	1	1
345	0	0
346	1	1
347	0	1
348	0	0
349	1	1
350	1	0
351	1	1
352	1	0
353	1	1
354	0	0
355	1	1
356	1	1
357	1	1
358	0	1
359	1	1
360	1	1
361	1	0
362	0	1
363	0	0
364	1	1
365	1	1
366	1	1
367	1	0
368	1	1
369	0	1
370	0	1
371	1	1
372	1	1
373	1	1
374	1	1
375	1	1
376	1	1
377	1	0
378	0	1
379	1	1
380	0	0
381	1	1
382	1	1
383	0	0
384	1	1
385	1	1
386	1	1
387	0	0
388	1	1
389	0	1
390	1	1
391	0	0
392	1	1
393	0	0
394	1	0
395	1	1
396	1	0
397	0	0
398	1	1
399	0	1
400	1	1
401	1	1
402	1	1
403	1	1
404	1	1
405	0	0
406	1	1
407	1	1
408	1	0
409	0	0
410	1	0
411	0	0
412	1	0
413	1	1
414	1	0
415	0	1
416	0	1
417	0	0
418	1	1
419	1	1
420	1	1
421	0	0
422	0	1
423	0	0
424	0	0
425	1	1
426	1	1
427	0	1
428	1	1
429	1	1
430	0	1
431	0	1
432	0	1
433	0	0
434	1	1
435	1	0
436	1	1
437	1	1
438	1	1
439	1	1
440	1	1
441	0	1
442	1	1
443	1	1
444	1	1
